INDICADOR,PAIS,ANO,VALOR,UNIDADE
Current number of seats in national parliaments,World,2021,38732,NUMBER
Current number of seats in national parliaments,World,2022,38435,NUMBER
Current number of seats in national parliaments,World,2023,37423,NUMBER
Current number of seats in national parliaments,Africa,2021,10510,NUMBER
Current number of seats in national parliaments,Africa,2022,10449,NUMBER
Current number of seats in national parliaments,Africa,2023,10352,NUMBER
Current number of seats in national parliaments,Afghanistan,2021,248,NUMBER
Current number of seats in national parliaments,Afghanistan,2022,248,NUMBER
Current number of seats in national parliaments,Afghanistan,2023,,NUMBER
Current number of seats in national parliaments,South America,2021,1959,NUMBER
Current number of seats in national parliaments,South America,2022,1789,NUMBER
Current number of seats in national parliaments,South America,2023,1809,NUMBER
Current number of seats in national parliaments,Albania,2021,122,NUMBER
Current number of seats in national parliaments,Albania,2022,140,NUMBER
Current number of seats in national parliaments,Albania,2023,140,NUMBER
Current number of seats in national parliaments,Oceania,2021,755,NUMBER
Current number of seats in national parliaments,Oceania,2022,756,NUMBER
Current number of seats in national parliaments,Oceania,2023,768,NUMBER
Current number of seats in national parliaments,Western Africa,2021,2361,NUMBER
Current number of seats in national parliaments,Western Africa,2022,2324,NUMBER
Current number of seats in national parliaments,Western Africa,2023,2324,NUMBER
Current number of seats in national parliaments,Algeria,2021,462,NUMBER
Current number of seats in national parliaments,Algeria,2022,407,NUMBER
Current number of seats in national parliaments,Algeria,2023,407,NUMBER
Current number of seats in national parliaments,Central America,2021,1123,NUMBER
Current number of seats in national parliaments,Central America,2022,1123,NUMBER
Current number of seats in national parliaments,Central America,2023,1123,NUMBER
Current number of seats in national parliaments,Eastern Africa,2021,3891,NUMBER
Current number of seats in national parliaments,Eastern Africa,2022,4010,NUMBER
Current number of seats in national parliaments,Eastern Africa,2023,4016,NUMBER
Current number of seats in national parliaments,Northern Africa,2021,1853,NUMBER
Current number of seats in national parliaments,Northern Africa,2022,1781,NUMBER
Current number of seats in national parliaments,Northern Africa,2023,1564,NUMBER
Current number of seats in national parliaments,Middle Africa,2021,1644,NUMBER
Current number of seats in national parliaments,Middle Africa,2022,1582,NUMBER
Current number of seats in national parliaments,Middle Africa,2023,1686,NUMBER
Current number of seats in national parliaments,Southern Africa,2021,761,NUMBER
Current number of seats in national parliaments,Southern Africa,2022,752,NUMBER
Current number of seats in national parliaments,Southern Africa,2023,762,NUMBER
Current number of seats in national parliaments,Americas,2021,4922,NUMBER
Current number of seats in national parliaments,Americas,2022,4754,NUMBER
Current number of seats in national parliaments,Americas,2023,4774,NUMBER
Current number of seats in national parliaments,Andorra,2021,28,NUMBER
Current number of seats in national parliaments,Andorra,2022,28,NUMBER
Current number of seats in national parliaments,Andorra,2023,28,NUMBER
Current number of seats in national parliaments,Northern America,2021,769,NUMBER
Current number of seats in national parliaments,Northern America,2022,771,NUMBER
Current number of seats in national parliaments,Northern America,2023,770,NUMBER
Current number of seats in national parliaments,Angola,2021,220,NUMBER
Current number of seats in national parliaments,Angola,2022,220,NUMBER
Current number of seats in national parliaments,Angola,2023,220,NUMBER
Current number of seats in national parliaments,Antigua and Barbuda,2021,18,NUMBER
Current number of seats in national parliaments,Antigua and Barbuda,2022,18,NUMBER
Current number of seats in national parliaments,Antigua and Barbuda,2023,18,NUMBER
Current number of seats in national parliaments,Caribbean,2021,1071,NUMBER
Current number of seats in national parliaments,Caribbean,2022,1071,NUMBER
Current number of seats in national parliaments,Caribbean,2023,1072,NUMBER
Current number of seats in national parliaments,Eastern Asia,2021,4501,NUMBER
Current number of seats in national parliaments,Eastern Asia,2022,4498,NUMBER
Current number of seats in national parliaments,Eastern Asia,2023,4499,NUMBER
Current number of seats in national parliaments,Azerbaijan,2021,121,NUMBER
Current number of seats in national parliaments,Azerbaijan,2022,120,NUMBER
Current number of seats in national parliaments,Azerbaijan,2023,118,NUMBER
Current number of seats in national parliaments,Argentina,2021,257,NUMBER
Current number of seats in national parliaments,Argentina,2022,257,NUMBER
Current number of seats in national parliaments,Argentina,2023,257,NUMBER
Current number of seats in national parliaments,Southern Asia,2021,2398,NUMBER
Current number of seats in national parliaments,Southern Asia,2022,2397,NUMBER
Current number of seats in national parliaments,Southern Asia,2023,2153,NUMBER
Current number of seats in national parliaments,South,2021,2976,NUMBER
Current number of seats in national parliaments,South,2022,3005,NUMBER
Current number of seats in national parliaments,South,2023,2543,NUMBER
Current number of seats in national parliaments,Australia,2021,151,NUMBER
Current number of seats in national parliaments,Australia,2022,151,NUMBER
Current number of seats in national parliaments,Australia,2023,151,NUMBER
Current number of seats in national parliaments,Southern Europe,2021,2521,NUMBER
Current number of seats in national parliaments,Southern Europe,2022,2537,NUMBER
Current number of seats in national parliaments,Southern Europe,2023,2320,NUMBER
Current number of seats in national parliaments,Austria,2021,183,NUMBER
Current number of seats in national parliaments,Austria,2022,183,NUMBER
Current number of seats in national parliaments,Austria,2023,183,NUMBER
Current number of seats in national parliaments,Bahamas,2021,39,NUMBER
