INDICADOR,PAIS,ANO,VALOR,UNIDADE
Proportion of individuals who own a mobile telephone,World,2019,66.6,PERCENT
Proportion of individuals who own a mobile telephone,World,2020,69.3,PERCENT
Proportion of individuals who own a mobile telephone,World,2021,70.6,PERCENT
Proportion of individuals who own a mobile telephone,World,2022,72.7,PERCENT
Proportion of individuals who own a mobile telephone,World,2019,61.9,PERCENT
Proportion of individuals who own a mobile telephone,World,2020,65,PERCENT
Proportion of individuals who own a mobile telephone,World,2021,66.2,PERCENT
Proportion of individuals who own a mobile telephone,World,2022,68.3,PERCENT
Proportion of individuals who own a mobile telephone,World,2019,71.3,PERCENT
Proportion of individuals who own a mobile telephone,World,2020,73.6,PERCENT
Proportion of individuals who own a mobile telephone,World,2021,75.1,PERCENT
Proportion of individuals who own a mobile telephone,World,2022,77.2,PERCENT
Proportion of individuals who own a mobile telephone,Algeria,2018,830.695,PERCENT
Proportion of individuals who own a mobile telephone,Angola,2014,786.377,PERCENT
Proportion of individuals who own a mobile telephone,Angola,2014,798.027,PERCENT
Proportion of individuals who own a mobile telephone,Angola,2014,776.114,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2013,724.143,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2014,739.173,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2015,741.245,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2016,734.163,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2017,84,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2018,83.5,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2019,83.5,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2020,84,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2021,84,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2014,70.656,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2015,70.465,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2016,698.427,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2017,797.204,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2018,793.404,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2019,794.309,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2020,799.475,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2021,833.748,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2014,772.075,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2015,77.81,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2016,770.101,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2017,883.795,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2018,877.465,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2019,876.445,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2020,881.233,PERCENT
Proportion of individuals who own a mobile telephone,Azerbaijan,2021,846.348,PERCENT
Proportion of individuals who own a mobile telephone,Argentina,2019,842.633,PERCENT
Proportion of individuals who own a mobile telephone,Argentina,2020,87.916,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2015,999.998,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2016,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2017,999.999,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2018,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2019,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2020,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2021,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2015,999.995,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2016,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2017,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2018,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2019,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2020,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2021,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2015,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2016,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2017,999.999,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2018,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2019,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2020,100,PERCENT
Proportion of individuals who own a mobile telephone,Bahrain,2021,100,PERCENT
Proportion of individuals who own a mobile telephone,Bangladesh,2021,617.992,PERCENT
Proportion of individuals who own a mobile telephone,Bangladesh,2021,514.469,PERCENT
Proportion of individuals who own a mobile telephone,Bangladesh,2021,723.246,PERCENT
Proportion of individuals who own a mobile telephone,Armenia,2017,726.067,PERCENT
Proportion of individuals who own a mobile telephone,Armenia,2018,764.285,PERCENT
Proportion of individuals who own a mobile telephone,Armenia,2017,726.381,PERCENT
Proportion of individuals who own a mobile telephone,Armenia,2018,768.174,PERCENT
Proportion of individuals who own a mobile telephone,Armenia,2017,725.687,PERCENT
Proportion of individuals who own a mobile telephone,Armenia,2018,759.524,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2019,97.5,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2020,97.3,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2021,97.6,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2022,97.6,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2019,98.6,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2020,98.4,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2021,98.6,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2022,98.6,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2019,96.4,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2020,96.2,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2021,96.5,PERCENT
Proportion of individuals who own a mobile telephone,Australia and New Zealand,2022,96.6,PERCENT
Proportion of individuals who own a mobile telephone,Belgium,2021,900.292,PERCENT
Proportion of individuals who own a mobile telephone,Belgium,2021,90.285,PERCENT
Proportion of individuals who own a mobile telephone,Belgium,2021,897.723,PERCENT
Proportion of individuals who own a mobile telephone,Central and Southern Asia,2019,47,PERCENT
Proportion of individuals who own a mobile telephone,Central and Southern Asia,2020,52.9,PERCENT
Proportion of individuals who own a mobile telephone,Central and Southern Asia,2021,54.2,PERCENT
